day,start_node,end_node,percentile,mild_infected,total
1,1003,3456,50,0,13
1,1003,3456,75,0,13
1,1003,3458,25,0,15
1,1003,3458,50,0,15
1,1003,3458,75,0,15
1,1003,3459,25,0,14
1,1003,3459,50,0,14
1,1003,3459,75,0,14
1,1003,3460,25,0,14
1,1003,3460,50,0,14
1,1003,3460,75,0,14
1,1003,4011,25,0,297
1,1003,4011,50,0,297
1,1003,4011,75,0,297
1,1003,4012,25,0,17
1,1003,4012,50,0,17
1,1003,4012,75,0,17
1,1003,5111,25,0,78
1,1003,5111,50,0,78
1,1003,5111,75,0,78
1,1003,5113,25,0,34
1,1003,5113,50,0,34
1,1003,5113,75,0,34
1,1003,5114,25,0,13
1,1003,5114,50,0,13
1,1003,5114,75,0,13
1,1003,5124,25,0,14
1,1003,5124,50,0,14
1,1003,5124,75,0,14
1,1003,5158,25,0,5
1,1003,5158,50,0,5
1,1003,5158,75,0,5
1,1003,5162,25,0,15
1,1003,5162,50,0,15
1,1003,5162,75,0,15
1,1003,5166,25,0,14
1,1003,5166,50,0,14
1,1003,5166,75,0,14
1,1003,5315,25,0,142
1,1003,5315,50,0,142
1,1003,5315,75,0,142
1,1003,5334,25,0,18
1,1003,5334,50,0,18
1,1003,5334,75,0,18
1,1003,5362,25,0,16
1,1003,5362,50,0,16
1,1003,5362,75,0,16
1,1003,5374,25,0,7
1,1003,5374,50,0,7
1,1003,5374,75,0,7
1,1003,5378,25,0,13
1,1003,5378,50,0,13
1,1003,5378,75,0,13
1,1003,5515,25,0,5
1,1003,5515,50,0,5
1,1003,5515,75,0,5
1,1003,5554,25,0,27
1,1003,5554,50,0,27
1,1003,5554,75,0,27
1,1003,5562,25,0,14
1,1003,5562,50,0,14
1,1003,5562,75,0,14
1,1003,5711,25,0,54
1,1003,5711,50,0,54
1,1003,5711,75,0,54
1,1003,5754,25,0,17
1,1003,5754,50,0,17
1,1003,5754,75,0,17
1,1003,5766,25,0,13
1,1003,5766,50,0,13
1,1003,5766,75,0,13
1,1003,5911,25,0,14
1,1003,5911,50,0,14
1,1003,5911,75,0,14
1,1003,5913,25,0,30
1,1003,5913,50,0,30
1,1003,5913,75,0,30
1,1003,5915,25,0,14
1,1003,5915,50,0,14
1,1003,5915,75,0,14
1,1003,5916,25,0,13
1,1003,5916,50,0,13
1,1003,5916,75,0,13
1,1003,5954,25,0,13
1,1003,5954,50,0,13
1,1003,5954,75,0,13
1,1003,5962,25,0,14
1,1003,5962,50,0,14
1,1003,5962,75,0,14
1,1003,5978,25,0,18
1,1003,5978,50,0,18
1,1003,5978,75,0,18
1,1003,6411,25,0,16
1,1003,6411,50,0,16
1,1003,6411,75,0,16
1,1003,6412,25,0,218
1,1003,6412,50,0,218
1,1003,6412,75,0,218
1,1003,6414,25,0,16
1,1003,6414,50,0,16
1,1003,6414,75,0,16
1,1003,6431,25,0,13
1,1003,6431,50,0,13
1,1003,6431,75,0,13
1,1003,6434,25,0,18
1,1003,6434,50,0,18
1,1003,6434,75,0,18
1,1003,6436,25,0,5
1,1003,6436,50,0,5
1,1003,6436,75,0,5
1,1003,6531,25,0,38
1,1003,6531,50,0,38
1,1003,6531,75,0,38
1,1003,6611,25,0,13
1,1003,6611,50,0,13
1,1003,6611,75,0,13
1,1003,6631,25,0,15
1,1003,6631,50,0,15
1,1003,6631,75,0,15
1,1003,6636,25,0,75
1,1003,6636,50,0,75
1,1003,6636,75,0,75
1,1003,7131,25,0,12
1,1003,7131,50,0,12
1,1003,7131,75,0,12
1,1003,7134,25,0,12
1,1003,7134,50,0,12
1,1003,7134,75,0,12
1,1003,7137,25,0,13
1,1003,7137,50,0,13
1,1003,7137,75,0,13
1,1003,7314,25,0,26
1,1003,7314,50,0,26
1,1003,7314,75,0,26
1,1003,7315,25,0,14
1,1003,7315,50,0,14
1,1003,7315,75,0,14
1,1003,8111,25,0,20
1,1003,8111,50,0,20
1,1003,8111,75,0,20
1,1003,8127,25,0,38
1,1003,8127,50,0,38
1,1003,8127,75,0,38
1,1003,8136,25,0,13
1,1003,8136,50,0,13
1,1003,8136,75,0,13
1,1003,8212,25,0,15
1,1003,8212,50,0,15
1,1003,8212,75,0,15
1,1003,8221,25,0,28
1,1003,8221,50,0,28
1,1003,8221,75,0,28
1,1003,8222,25,0,41
1,1003,8222,50,0,41
1,1003,8222,75,0,41
1,1003,9162,25,0,110
1,1003,9162,50,0,110
1,1003,9162,75,0,110
1,1003,9177,25,0,13
1,1003,9177,50,0,13
1,1003,9177,75,0,13
1,1003,9184,25,0,6
1,1003,9184,50,0,6
1,1003,9184,75,0,6
1,1003,9186,25,0,13
1,1003,9186,50,0,13
1,1003,9186,75,0,13
1,1003,9188,25,0,13
1,1003,9188,50,0,13
1,1003,9188,75,0,13
1,1003,9362,25,0,13
1,1003,9362,50,0,13
1,1003,9362,75,0,13
1,1003,9461,25,0,12
1,1003,9461,50,0,12
1,1003,9461,75,0,12
1,1003,9462,25,0,12
1,1003,9462,50,0,12
1,1003,9462,75,0,12
1,1003,9563,25,0,13
1,1003,9563,50,0,13
1,1003,9563,75,0,13
1,1003,9564,25,0,17
1,1003,9564,50,0,17
1,1003,9564,75,0,17
1,1003,9571,25,0,13
1,1003,9571,50,0,13
1,1003,9571,75,0,13
1,1003,9661,25,0,13
1,1003,9661,50,0,13
1,1003,9661,75,0,13
1,1003,9663,25,0,25
1,1003,9663,50,0,25
1,1003,9663,75,0,25
1,1003,9671,25,0,13
1,1003,9671,50,0,13
1,1003,9671,75,0,13
1,1003,9675,25,0,13
1,1003,9675,50,0,13
1,1003,9675,75,0,13
1,1003,9679,25,0,13
1,1003,9679,50,0,13
1,1003,9679,75,0,13
1,1003,9761,25,0,15
1,1003,9761,50,0,15
1,1003,9761,75,0,15
1,1003,9780,25,0,25
1,1003,9780,50,0,25
1,1003,9780,75,0,25
1,1003,10042,25,0,12
1,1003,10042,50,0,12
1,1003,10042,75,0,12
1,1003,11000,25,0,555
